source,target,weight
Italy,Spain,2.0
Slovenia,Serbia,1.0
Serbia,Slovenia,1.0
Denmark,England,1.0
England,Denmark,1.0
Canada,Argentina,2.0
Poland,Austria,2.0
Netherlands,France,1.0
France,Netherlands,1.0
Slovakia,Ukraine,2.0
Vanuatu,New Zealand,3.5
Peru,Chile,1.0
Chile,Peru,1.0
Romania,Belgium,2.0
Georgia,Czech Republic,1.0
Czech Republic,Georgia,1.0
Turkey,Portugal,2.0
Samoa,Papua New Guinea,3.5
Tahiti,Fiji,3.5
Ecuador,Venezuela,2.0
Jamaica,Mexico,2.0
Germany,Switzerland,1.0
Switzerland,Germany,1.0
Scotland,Hungary,2.0
Bolivia,United States,2.0
Panama,Uruguay,2.0
Albania,Spain,2.0
Croatia,Italy,1.0
Italy,Croatia,1.0
Paraguay,Colombia,2.0
Brazil,Costa Rica,1.0
Costa Rica,Brazil,1.0
England,Slovenia,1.0
Slovenia,England,1.0
Denmark,Serbia,1.0
Serbia,Denmark,1.0
Netherlands,Austria,2.0
France,Poland,1.0
Poland,France,1.0
Peru,Canada,2.0
Chile,Argentina,2.0
Slovakia,Romania,1.0
Romania,Slovakia,1.0
Ukraine,Belgium,1.0
Belgium,Ukraine,1.0
Portugal,Georgia,2.0
Czech Republic,Turkey,2.0
Jamaica,Ecuador,2.0
Mexico,Venezuela,2.0
Fiji,Vanuatu,3.5
Tahiti,New Zealand,3.5
United States,Panama,2.0
Bolivia,Uruguay,2.0
Costa Rica,Colombia,2.0
Paraguay,Brazil,2.0
Italy,Switzerland,2.0
Denmark,Germany,2.0
Peru,Argentina,2.0
Canada,Chile,1.0
Chile,Canada,1.0
Slovakia,England,2.0
Georgia,Spain,2.0
Fiji,Tahiti,3.5
Vanuatu,New Zealand,3.5
Mexico,Ecuador,1.0
Ecuador,Mexico,1.0
Jamaica,Venezuela,2.0
Belgium,France,2.0
Portugal,Slovenia,1.0
Slovenia,Portugal,1.0
United States,Uruguay,2.0
Bolivia,Panama,2.0
Romania,Netherlands,2.0
Austria,Turkey,2.0
Brazil,Colombia,1.0
Colombia,Brazil,1.0
Paraguay,Costa Rica,2.0
Argentina,Ecuador,1.0
Ecuador,Argentina,1.0
Germany,Spain,2.0
Portugal,France,1.0
France,Portugal,1.0
Venezuela,Canada,1.0
Canada,Venezuela,1.0
England,Switzerland,1.0
Switzerland,England,1.0
Turkey,Netherlands,2.0
Uruguay,Brazil,1.0
Brazil,Uruguay,1.0
Panama,Colombia,2.0
France,Spain,2.0
Canada,Argentina,2.0
Netherlands,England,2.0
Uruguay,Colombia,2.0
Canada,Uruguay,1.0
Uruguay,Canada,1.0
England,Spain,2.0
Colombia,Argentina,2.0
Guatemala,El Salvador,1.0
Jordan,North Korea,0.5
North Korea,Jordan,0.5
North Korea,Jordan,1.0
Guatemala,Uruguay,0.5
Uruguay,Guatemala,0.5
Solomon Islands,Fiji,2.0
Fiji,Hong Kong,1.0
Hong Kong,Fiji,1.0
India,Mauritius,1.75
